authorID	forename	initials	surname
1	Roberto		Pellicciari
2	Benedetto		Natalini
3	Bahman	M.	Sadeghpour
4	Maura		Marinozzi
5	James	P.	Snyder
6	Bobby	L.	Williamson
7	Jeffrey	T.	Kuethe
8	Albert		Padwa
9	Brian	D.	Wagner
10	Géraldine		Ruel
11	Janusz		Lusztyk
12	Jonas		Persson
13	Svante		Axelsson
14	Olle		Matsson
15	Stephen		Fox
16	Alaganandan		Nanthakumar
17	Mårten		Wikström
18	Kenneth	D.	Karlin
19	Ninian	J.	Blackburn
20	Per-Ola		Norrby
21	Heinrich		Becker
22	K.	Barry	Sharpless
23	Jeffrey	D.	Hartgerink
24	Juan	R.	Granja
25	Ronald	A.	Milligan
26	M.	Reza	Ghadiri
27	Tatjana	N.	Parac
28	Nenad	M.	Kostić
29	Kurt	V.	Gothelf
30	Ib		Thomsen
31	Karl	Anker	Jørgensen
32	M.	M.	Grush
33	J.		Chen
34	T.	L.	Stemmler
35	S.	J.	George
36	C.	Y.	Ralston
37	R.	T.	Stibrany
38	A.		Gelasco
39	G.		Christou
40	S.	M.	Gorun
41	J.	E.	Penner-Hahn
42	S.	P.	Cramer
43	Alfred	A.	Zinn
44	Zhiping		Zheng
45	Carolyn	B.	Knobler
46	M.	Frederick	Hawthorne
47	Elena		Babini
48	Ivano		Bertini
49	Marco		Borsari
50	Francesco		Capozzi
51	Alexander		Dikiy
52	Lindsay	D.	Eltis
53	Claudio		Luchinat
54	Gary	P.	Wiederrecht
55	Mark	P.	Niemczyk
56	Walter	A.	Svec
57	Michael	R.	Wasielewski
58	Miguel	A.	Esteruelas
59	Fernando	J.	Lahoz
60	Enrique		Oñate
61	Luis	A.	Oro
62	Eduardo		Sola
63	Peter		Schwab
64	Robert	H.	Grubbs
65	Joseph	W.	Ziller
66	Marcelo	E.	Piotti
67	Howard		Alper
68	Donald	W.	Low
69	Jay	R.	Winkler
70	Harry	B.	Gray
71	Victoria	J.	DeRose
72	Katherine	E.	Liu
73	Stephen	J.	Lippard
74	Brian	M.	Hoffman
75	Ralf		Köppe
76	Paul	H.	Kasai
77	Martin		Goez
78	Gerd		Eckert
79	Atsuhiro		Osuka
80	Shinji		Marumo
81	Noboru		Mataga
82	Seiji		Taniguchi
83	Tadashi		Okada
84	Iwao		Yamazaki
85	Yoshinobu		Nishimura
86	Takeshi		Ohno
87	Koichi		Nozaki
88	Michael	J.	Bearpark
89	Fernando		Bernardi
90	Simon		Clifford
91	Massimo		Olivucci
92	Michael	A.	Robb
93	Barry	R.	Smith
94	Thom		Vreven
95	Sarah		Wilsey
96	Luis		Serrano-Andrés
97	Björn	O.	Roos
98	Arthur	T.	Blades
99	Yeunghaw		Ho
100	Paul		Kebarle
101	Deborah	S.	Gross
102	Evan	R.	Williams
103	S.	G.	Kukolich
104	S.	M.	Sickafoose
105	S.	M.	Breckenridge
106	Basil	T.	Abdo
107	Ian	L.	Alberts
108	Christopher	J.	Attfield
109	R.	Eric	Banks
110	Alexander	J.	Blake
111	Paul	T.	Brain
112	A.	Peter	Cox
113	Colin	R.	Pulham
114	David	W. H.	Rankin
115	Heather	E.	Robertson
116	Vincent		Murtagh
117	Axel		Heppeler
118	Carole		Morrison
119	Susan	E.	Forest
120	Robert	L.	Kuczkowski
121	Greg	J.	Spivak
122	Leijun		Hao
123	Jagadese	J.	Vittal
124	Richard	J.	Puddephatt
125	Edward	A.	Salter
126	Ryan	Z.	Hinrichs
127	Carl		Salter
128	Geoffrey	W.	Coates
129	Jeffrey	S.	Patrick
130	Sheng	S.	Yang
131	R.	Graham	Cooks
132	Barry	M.	Trost
133	Michael	J.	Krische
134	Richard	C.	Bunt
135	Alfred	A.	Avey
136	Ross	H.	Hill
137	M.	J.	O'Connor
138	R.	B.	Dunlap
139	J.	D.	Odom
140	D.		Hilvert
141	M.		Pusztai-Carey
142	B.	C.	Shenoy
143	P.	R.	Carey
144	John	D.	McCarter
145	Stephen	G.	Withers
146	Krishna		Kumar
147	Zhe		Lin
148	David	H.	Waldeck
149	Matthew	B.	Zimmt
150	Susumu		Arimori
151	Masayuki		Takeuchi
152	Seiji		Shinkai
153	Gilbert		Stork
154	James	J. La	Clair
155	Howard	E.	Zimmerman
156	Andrei	G.	Kutateladze
157	Michael	B.	Wallace
158	Brent	L.	Iverson
159	Beatrice		Ruhland
160	Ashok		Bhandari
161	Eric	M.	Gordon
162	Mark	A.	Gallop
163	François		Morvan
164	Yogesh	S.	Sanghvi
165	Michel		Perbost
166	Jean-Jacques		Vasseur
167	Laurent		Bellon
168	Fokke		Venema
169	Alan	E.	Rowan
170	Roeland	J. M.	Nolte
171	David	J.	Owen
172	Gary	B.	Schuster
173	Avihai		Yacovan
174	Shmaryahu		Hoz
175	Itzhak		Bilkis
176	Madhu	S.	Mondal
177	Helen	A.	Fuller
178	Fraser	A.	Armstrong
179	Helen	S. M.	Lu
180	Jerome	A.	Berson
181	Lynda	K.	Johnson
182	Stefan		Mecking
183	Maurice		Brookhart
184	R.	Scott	Prosser
185	Sheri	A.	Hunt
186	John	A.	DiNatale
187	Regitze	R.	Vold
188	Paul		Hanson
189	Gary		Martinez
190	Glenn		Millhauser
191	Fernando		Formaggio
192	Marco		Crisma
193	Claudio		Toniolo
194	Claudio		Vita
195	Hans	J.	Reich
196	Klaus	J.	Kulicke
197	Ding		Li
198	Zhihong		Guo
199	Hung-wen		Liu
200	Jorge		Sánchez-Quesada
201	Christian		Seel
202	Pilar		Prados
203	Javier	de	Mendoza
204	Ionara		Dalcol
205	Ernest		Giralt
206	Linda	M.	Cameron
207	Brian	J.	Hales
208	Doug		Burdi
209	Bradley	E.	Sturgeon
210	Wing	H.	Tong
211	JoAnne		Stubbe
212	Jason	M.	Fischer
213	Warren	E.	Piers
214	Susan	D. Pearce	Batchilder
215	Michael	J.	Zaworotko
216	Tatsuya		Kawamoto
217	Brian	S.	Hammes
218	Brian		Haggerty
219	Glenn	P. A.	Yap
220	Arnold	L.	Rheingold
221	A.	S.	Borovik
222	Andrew	P.	Combs
223	Tarun	M.	Kapoor
224	Sibo		Feng
225	James	K.	Chen
226	Lygia	F.	Daudé-Snow
227	Stuart	L.	Schreiber
228	Béatrice	M.	Aveline
229	Irene	E.	Kochevar
230	Robert	W.	Redmond
231	Jinhwa		Lee
232	Chul	Hyun	Kang
233	Heejin		Kim
234	Jin	Kun	Cha
235	Alvin	C.	Bach
236	J.	Robert	Espina
237	Sharon	A.	Jackson
238	Pieter	F. W.	Stouten
239	Jodie	L.	Duke
240	Shaker	A.	Mousa
241	William	F.	DeGrado
242	O.	M.	Yaghi
243	Hailian		Li
244	Harry	J.	Ploehn
245	Frank		Jensen
246	LeRoy		Eyring
247	Joseph	J.	Gajewski
248	Leif	P.	Olson
249	M.	Robert	Willcott
250	Chuan-Fa		Liu
251	Chang		Rao
252	James	P.	Tam
253	Michael	R.	Detty
254	Feng		Zhou
255	Alan	E.	Friedman
256	E.	J.	Corey
257	Mark	C.	Noe
258	C.	D.	Bryan
259	A.	W.	Cordes
260	J.	D.	Goddard
261	R.	C.	Haddon
262	R.	G.	Hicks
263	C.	D.	MacKinnon
264	R.	C.	Mawhinney
265	R.	T.	Oakley
266	T.	T. M.	Palstra
267	A.	S.	Perel
268	Andrzej		Sygula
269	Atteye	H.	Abdourazak
270	Peter	W.	Rabideau
271	Philip	G.	Jessop
272	Yi		Hsiao
273	Takao		Ikariya
274	Ryoji		Noyori
275	Herbert		Plenio
276	Ralph		Diodone
277	Hayao		Kobayashi
278	Hideto		Tomita
279	Toshio		Naito
280	Akiko		Kobayashi
281	Fumiko		Sakai
282	Tokuko		Watanabe
283	Patrick		Cassoux
284	Basil	P.	Paulson
285	Larry	A.	Curtiss
286	B.		Bal
287	Gerhard	L.	Closs
288	John	R.	Miller
289	Rodger	D.	Scurlock
290	Bojie		Wang
291	Peter	R.	Ogilby
292	Youn-Geun		Kim
293	Shueh-Lin		Yau
294	Kingo		Itaya
295	Gary	E.	Maciel
296	Daniel		Nietlispach
297	Robin	T.	Clowes
298	R.	William	Broadhurst
299	Yutaka		Ito
300	James		Keeler
301	Mark		Kelly
302	Jennifer		Ashurst
303	Hartmut		Oschkinat
304	Peter	J.	Domaille
305	Ernest	D.	Laue
306	Ariel		Sella
307	Harold		Basch
308	Michael	L.	McKee
309	M.	A. San	Miguel
310	A.		Márquez
311	Javier	Fernández	Sanz
312	Torsten		Zytowski
313	Hanns		Fischer
314	E.	J.	Sluyts
315	B.	J. van der	Veken
316	H.	T.	Deng
317	K.	P.	Kerns
318	A.	W.	Castleman
319	Xianlin		Han
320	Richard	W.	Gross
321	Ignacio		Villegas
322	Michael	J.	Weaver
323	Lester		Andrews
324	George	V.	Chertihin
325	Alessandra		Ricca
326	Charles	W.	Bauschlicher
327	Takanori		Shibata
328	Hiroshi		Morioka
329	Tadakatsu		Hayase
330	Kaori		Choji
331	Kenso		Soai
332	Francesc		Rabanal
333	P.	Leslie	Dutton
334	Paul	G.	Wenthold
335	Jun		Hu
336	Robert	R.	Squires
337	W.	C.	Lineberger
338	Abel		Schejter
339	Galia		Taler
340	Gil		Navon
341	Xiang-Jun		Liu
342	Emanuel		Margoliash
343	Tomoji		Igarashi
344	Masayuki		Satake
345	Takeshi		Yasumoto
346	Nathanael	L. P.	Fackler
347	Songsheng		Zhang
348	Thomas	V.	O'Halloran
349	Jinqiang		Xia
350	Paul	A.	Lindahl
351	Seung	Joo	Cho
352	Hong	Sub	Hwang
353	Jung	Mee	Park
354	Kyung	Seok	Oh
355	Kwang	S.	Kim
356	Martin		Smrčina
357	Štěpán		Vyskočil
358	Vladimír		Hanuš
359	Miroslav		Polášek
360	Vratislav		Langer
361	Benjamin	G. M.	Chew
362	David	B.	Zax
363	Hugh		Verrier
364	Kevin		Harper
365	Thomas	A.	Claxton
366	Pavel		Kočovský
367	Masatsugu		Kajitani
368	Genjiro		Hagino
369	Minako		Tamada
370	Tetsuji		Fujita
371	Masami		Sakurada
372	Takeo		Akiyama
373	Akira		Sugimori
374	Marie	E.	Migaud
375	J.	W.	Frost
376	Taekyu		Lee
377	J.	Bryan	Jones
378	Lester		Clowney
379	Shri	C.	Jain
380	A.	R.	Srinivasan
381	John		Westbrook
382	Wilma	K.	Olson
383	Helen	M.	Berman
384	Anke		Gelbin
385	Bohdan		Schneider
386	Shu-Hsin		Hsieh
387	Hsin-Guo		Shu
388	Lin-Hung		Shiu
389	Shin-Hwan		Wang
390	Sue-Lein		Wang
391	Gene-Hsian		Lee
392	Shie-Ming		Peng
393	Rai-Shung		Liu
394	R.	K.	Schmidt
395	M.		Karplus
396	J.	W.	Brady
397	Douglass	F.	Taber
398	Kamfia	K.	You
399	Timothy	D.	Cushing
400	Juan	F.	Sanz-Cervera
401	Robert	M.	Williams
402	Benjamin	F.	Cravatt
403	Richard	A.	Lerner
404	Dale	L.	Boger
405	Christopher	P.	Schaller
406	Christopher	C.	Cummins
407	Peter	T.	Wolczanski
408	Omoshile		Clement
409	Aleksander	W.	Roszak
410	Erwin		Buncel
411	Han	Young	Woo
412	Hyunsoo		So
413	Michael	T.	Pope
414	Wayne	A.	King
415	Santo	Di	Bella
416	Giuseppe		Lanza
417	Karl		Khan
418	David	J.	Duncalf
419	F.	Geoffrey N.	Cloke
420	Ignazio	L.	Fragala
421	Tobin	J.	Marks
422	Meili		Zhong
423	John	I.	Brauman
424	A.	L.	Rohl
425	D.	H.	Gay
426	R.	J.	Davey
427	C.	R. A.	Catlow
428	Igor	M.	Svishchev
429	Peter	G.	Kusalik
430	Marlene		Kropf
431	Ernesto		Joselevich
432	Heinz		Dürr
433	Itamar		Willner
434	Sason		Shaik
435	Avital		Shurki
436	David		Danovich
437	Philippe	C.	Hiberty
438	Steven	W.	Rick
439	B.	J.	Berne
440	Jun		Cheng
441	Gotthàrd		Sàghi-Szabó
442	John	A.	Tossell
443	Cary	J.	Miller
444	M.		Tsukazaki
445	M.		Tinkl
446	A.		Roglans
447	B.	J.	Chapell
448	N.	J.	Taylor
449	V.		Snieckus
450	Hideo		Nagashima
451	Akihiro		Suzuki
452	Mitsuharu		Nobata
453	Kenji		Itoh
454	Radovan		Fiala
455	Feng		Jiang
456	Dinshaw	J.	Patel
457	Jerzy		Gȩbicki
458	Andrzej		Marcinek
459	Jan		Adamus
460	Piotr		Paneth
461	Jacek		Rogowski
462	Xiang		Zhang
463	Mercouri	G.	Kanatzidis
464	Tim		Hogan
465	Carl	R.	Kannewurf
466	José		Barluenga
467	Miguel		Tomás
468	Eduardo		Rubio
469	José	A.	López-Pelegrín
470	Santiago		García-Granda
471	Pilar		Pertierra
472	Fumihiko		Ohno
473	Takayuki		Kawashima
474	Renji		Okazaki
475	José		Vicente
476	M.	Teresa	Chicote
477	Rita		Guerrero
478	Peter	G.	Jones
479	Takaharu		Ookubo
480	Hideki		Sugimoto
481	Toshihiko		Nagayama
482	Hideki		Masuda
483	Takahisa		Sato
484	Koji		Tanaka
485	Yonezo		Maeda
486	Hisashi		Ōkawa
487	Yoshihito		Hayashi
488	Akira		Uehara
489	Masatatsu		Suzuki
